model,split,mAP50,mAP50_95,precision,recall,AP50_Trichomonas_vaginalis,AP50_Bacterial_vaginosis_flora_shift,AP50_Candida_spp.,AP50_Actinomyces_spp.
yolo26n_v2,val,0.6402,0.4076,0.5664,0.6432,0.6305,0.7409,0.2744,0.915
yolo26n_v2,test,0.6365,0.3734,0.6048,0.621,0.443,0.7274,0.3808,0.995
