model,split,mAP50,mAP50_95,precision,recall,AP50_Trichomonas_vaginalis,AP50_Bacterial_vaginosis_flora_shift,AP50_Candida_spp.,AP50_Actinomyces_spp.
yolo26s,val,0.6462,0.3764,0.6981,0.5859,0.5813,0.7035,0.3277,0.9721
yolo26s,test,0.5301,0.2876,0.5269,0.5928,0.51,0.6838,0.373,0.5534
